SNo,lga,state,
213,Etsako East,Edo State,
214,Etsako West,Edo State,
215,Etung,Cross River State,
216,Ewekoro,Ogun State,
217,Ezeagu,Enugu State,
218,Ezinihitte,Imo State,
219,Ezza North,Ebonyi State,
220,Ezza South,Ebonyi State,
221,Fagge,Kano State,
222,Fakai,Kebbi State,
223,Faskari,Katsina State,
224,Fika,Yobe State,
225,Fufure,Adamawa State,
226,Funakaye,Gombe State,
227,Fune,Yobe State,
228,Funtua,Katsina State,
229,Gabasawa,Kano State,
230,Gada,Sokoto State,
231,Gagarawa,Jigawa State,
232,Gamawa,Bauchi State,
233,Ganjuwa,Bauchi State,
234,Ganye,Adamawa State,
235,Garki,Jigawa State,
236,Garko,Kano State,
237,Garun Mallam,Kano State,
238,Gashaka,Taraba State,
239,Gassol,Taraba State,
240,Gaya,Kano State,
241,Gayuk,Adamawa State,
242,Gezawa,Kano State,
243,Gbako,Niger State,
244,Gboko,Benue State,
245,Gbonyin,Ekiti State,
246,Geidam,Yobe State,
247,Giade,Bauchi State,
248,Giwa,Kaduna State,
249,Gokana,Rivers State,
250,Gombe,Gombe State,
251,Gombi,Adamawa State,
252,Goronyo,Sokoto State,
253,Grie,Adamawa State,
254,Gubio,Borno State,
255,Gudu,Sokoto State,
256,Gujba,Yobe State,
257,Gulani,Yobe State,
258,Guma,Benue State,
259,Gumel,Jigawa State,
260,Gummi,Zamfara State,
261,Gurara,Niger State,
262,Guri,Jigawa State,
263,Gusau,Zamfara State,
264,Guzamala,Borno State,
265,Gwadabawa,Sokoto State,
266,Gwagwalada,FCT,
267,Gwale,Kano State,
268,Gwandu,Kebbi State,
269,Gwaram,Jigawa State,
270,Gwarzo,Kano State,
271,Gwer East,Benue State,
272,Gwer West,Benue State,
273,Gwiwa,Jigawa State,
274,Gwoza,Borno State,
275,Hadejia,Jigawa State,
276,Hawul,Borno State,
277,Hong,Adamawa State,
278,Ibadan North,Oyo State,
279,Ibadan North-East,Oyo State,
280,Ibadan North-West,Oyo State,
281,Ibadan South-East,Oyo State,
282,Ibadan South-West,Oyo State,
283,Ibaji,Kogi State,
284,Ibarapa Central,Oyo State,
285,Ibarapa East,Oyo State,
286,Ibarapa North,Oyo State,
287,Ibeju-Lekki,Lagos State,
288,Ibeno,Akwa Ibom State,
289,Ibesikpo Asutan,Akwa Ibom State,
290,Ibi,Taraba State,
291,Ibiono-Ibom,Akwa Ibom State,
292,Idah,Kogi State,
293,Idanre,Ondo State,
294,Ideato North,Imo State,
295,Ideato South,Imo State,
296,Idemili North,Anambra State,
297,Idemili South,Anambra State,
298,Ido,Oyo State,
299,Ido Osi,Ekiti State,
300,Ifako-Ijaiye,Lagos State,
301,Ifedayo,Osun State,
302,Ifedore,Ondo State,
303,Ifelodun,Kwara State,
304,Ifelodun,Osun State,
305,Ifo,Ogun State,
306,Igabi,Kaduna State,
307,Igalamela Odolu,Kogi State,
308,Igbo Etiti,Enugu State,
309,Igbo Eze North,Enugu State,
310,Igbo Eze South,Enugu State,
311,Igueben,Edo State,
312,Ihiala,Anambra State,
313,Ihitte/Uboma,Imo State,
314,Ilaje,Ondo State,
315,Ijebu East,Ogun State,
316,Ijebu North,Ogun State,
317,Ijebu North East,Ogun State,
318,Ijebu Ode,Ogun State,
319,Ijero,Ekiti State,
320,Ijumu,Kogi State,
321,Ika,Akwa Ibom State,
322,Ika North East,Delta State,
323,Ikara,Kaduna State,
324,Ika South,Delta State,
325,Ikeduru,Imo State,
326,Ikeja,Lagos State,
327,Ikenne,Ogun State,
328,Ikere,Ekiti State,
329,Ikole,Ekiti State,
330,Ikom,Cross River State,
331,Ikono,Akwa Ibom State,
332,Ikorodu,Lagos State,
333,Ikot Abasi,Akwa Ibom State,
334,Ikot Ekpene,Akwa Ibom State,
335,Ikpoba Okha,Edo State,
336,Ikwerre,Rivers State,
337,Ikwo,Ebonyi State,
338,Ikwuano,Abia State,
339,Ila,Osun State,
340,Ilejemeje,Ekiti State,
341,Ile Oluji/Okeigbo,Ondo State,
342,Ilesa East,Osun State,
343,Ilesa West,Osun State,
344,Illela,Sokoto State,
345,Ilorin East,Kwara State,
346,Ilorin South,Kwara State,
347,Ilorin West,Kwara State,
348,Imeko Afon,Ogun State,
349,Ingawa,Katsina State,
350,Ini,Akwa Ibom State,
351,Ipokia,Ogun State,
352,Irele,Ondo State,
353,Irepo,Oyo State,
354,Irepodun,Kwara State,
355,Irepodun,Osun State,
356,Irepodun/Ifelodun,Ekiti State,
357,Irewole,Osun State,
358,Isa,Sokoto State,
359,Ise/Orun,Ekiti State,
360,Iseyin,Oyo State,
361,Ishielu,Ebonyi State,
362,Isiala Mbano,Imo State,
363,Isiala Ngwa North,Abia State,
364,Isiala Ngwa South,Abia State,
365,Isin,Kwara State,
366,Isi Uzo,Enugu State,
367,Isokan,Osun State,
368,Isoko North,Delta State,
369,Isoko South,Delta State,
370,Isu,Imo State,
371,Isuikwuato,Abia State,
372,Itas/Gadau,Bauchi State,
373,Itesiwaju,Oyo State,
374,Itu,Akwa Ibom State,
375,Ivo,Ebonyi State,
376,Iwajowa,Oyo State,
377,Iwo,Osun State,
378,Izzi,Ebonyi State,
379,Jaba,Kaduna State,
380,Jada,Adamawa State,
381,Jahun,Jigawa State,
382,Jakusko,Yobe State,
383,Jalingo,Taraba State,
384,Jama'are,Bauchi State,
385,Jega,Kebbi State,
386,Jema'a,Kaduna State,
387,Jere,Borno State,
388,Jibia,Katsina State,
389,Jos East,Plateau State,
390,Jos North,Plateau State,
391,Jos South,Plateau State,
392,Kabba/Bunu,Kogi State,
393,Kabo,Kano State,
394,Kachia,Kaduna State,
395,Kaduna North,Kaduna State,
396,Kaduna South,Kaduna State,
397,Kafin Hausa,Jigawa State,
398,Kafur,Katsina State,
399,Kaga,Borno State,
400,Kagarko,Kaduna State,
401,Kaiama,Kwara State,
402,Kaita,Katsina State,
403,Kajola,Oyo State,
404,Kajuru,Kaduna State,
405,Kala/Balge,Borno State,
406,Kalgo,Kebbi State,
407,Kaltungo,Gombe State,
408,Kanam,Plateau State,
409,Kankara,Katsina State,
410,Kanke,Plateau State,
411,Kankia,Katsina State,
412,Kano Municipal,Kano State,
413,Karasuwa,Yobe State,
414,Karaye,Kano State,
415,Karim Lamido,Taraba State,
416,Karu,Nasarawa State,
417,Katagum,Bauchi State,
418,Katcha,Niger State,
419,Katsina,Katsina State,
420,Katsina-Ala,Benue State,
421,Kaura,Kaduna State,
422,Kaura Namoda,Zamfara State,
423,Kauru,Kaduna State,
424,Kazaure,Jigawa State,
425,Keana,Nasarawa State,
426,Kebbe,Sokoto State,
427,Keffi,Nasarawa State,
428,Khana,Rivers State,
429,Kibiya,Kano State,
430,Kirfi,Bauchi State,
431,Kiri Kasama,Jigawa State,
432,Kiru,Kano State,
433,Kiyawa,Jigawa State,
434,Kogi,Kogi State,
435,Koko/Besse,Kebbi State,
436,Kokona,Nasarawa State,
437,Kolokuma/Opokuma,Bayelsa State,
438,Konduga,Borno State,
439,Konshisha,Benue State,
440,Kontagora,Niger State,
441,Kosofe,Lagos State,
442,Kaugama,Jigawa State,
443,Kubau,Kaduna State,
444,Kudan,Kaduna State,
445,Kuje,FCT,
446,Kukawa,Borno State,
447,Kumbotso,Kano State,
448,Kumi,Taraba State,
449,Kunchi,Kano State,
450,Kura,Kano State,
451,Kurfi,Katsina State,
452,Kusada,Katsina State,
453,Kwali,FCT,
454,Kwande,Benue State,
455,Kwami,Gombe State,
456,Kware,Sokoto State,
457,Kwaya Kusar,Borno State,
458,Lafia,Nasarawa State,
459,Lagelu,Oyo State,
460,Lagos Island,Lagos State,
461,Lagos Mainland,Lagos State,
462,Langtang South,Plateau State,
463,Langtang North,Plateau State,
464,Lapai,Niger State,
465,Lamurde,Adamawa State,
466,Lau,Taraba State,
467,Lavun,Niger State,
468,Lere,Kaduna State,
469,Logo,Benue State,
470,Lokoja,Kogi State,
471,Machina,Yobe State,
472,Madagali,Adamawa State,
473,Madobi,Kano State,
474,Mafa,Borno State,
475,Magama,Niger State,
476,Magumeri,Borno State,
477,Mai'Adua,Katsina State,
478,Maiduguri,Borno State,
479,Maigatari,Jigawa State,
480,Maiha,Adamawa State,
481,Maiyama,Kebbi State,
482,Makarfi,Kaduna State,
483,Makoda,Kano State,
484,Malam Madori,Jigawa State,
485,Malumfashi,Katsina State,
486,Mangu,Plateau State,
487,Mani,Katsina State,
488,Maradun,Zamfara State,
489,Mariga,Niger State,
490,Makurdi,Benue State,
491,Marte,Borno State,
492,Maru,Zamfara State,
493,Mashegu,Niger State,
494,Mashi,Katsina State,
495,Matazu,Katsina State,
496,Mayo Belwa,Adamawa State,
497,Mbaitoli,Imo State,
498,Mbo,Akwa Ibom State,
499,Michika,Adamawa State,
500,Miga,Jigawa State,
501,Mikang,Plateau State,
502,Minjibir,Kano State,
503,Misau,Bauchi State,
504,Moba,Ekiti State,
505,Mobbar,Borno State,
506,Mubi North,Adamawa State,
507,Mubi South,Adamawa State,
508,Mokwa,Niger State,
509,Monguno,Borno State,
510,Mopa Muro,Kogi State,
511,Moro,Kwara State,
512,Moya,Niger State,
513,Mkpat-Enin,Akwa Ibom State,
514,Municipal Area Council,FCT,
515,Musawa,Katsina State,
516,Mushin,Lagos State,
517,Nafada,Gombe State,
518,Nangere,Yobe State,
519,Nasarawa,Kano State,
520,Nasarawa,Nasarawa State,
521,Nasarawa Egon,Nasarawa State,
522,Ndokwa East,Delta State,
523,Ndokwa West,Delta State,
524,Nembe,Bayelsa State,
525,Ngala,Borno State,
526,Nganzai,Borno State,
527,Ngaski,Kebbi State,
528,Ngor Okpala,Imo State,
529,Nguru,Yobe State,
530,Ningi,Bauchi State,
531,Njaba,Imo State,
532,Njikoka,Anambra State,
533,Nkanu East,Enugu State,
534,Nkanu West,Enugu State,
535,Nkwerre,Imo State,
536,Nnewi North,Anambra State,
537,Nnewi South,Anambra State,
538,Nsit-Atai,Akwa Ibom State,
539,Nsit-Ibom,Akwa Ibom State,
540,Nsit-Ubium,Akwa Ibom State,
541,Nsukka,Enugu State,
542,Numan,Adamawa State,
543,Nwangele,Imo State,
544,Obafemi Owode,Ogun State,
545,Obanliku,Cross River State,
546,Obi,Benue State,
547,Obi,Nasarawa State,
548,Obi Ngwa,Abia State,
549,Obio/Akpor,Rivers State,
550,Obokun,Osun State,
551,Obot Akara,Akwa Ibom State,
552,Obowo,Imo State,
553,Obubra,Cross River State,
554,Obudu,Cross River State,
555,Odeda,Ogun State,
556,Odigbo,Ondo State,
557,Odogbolu,Ogun State,
558,Odo Otin,Osun State,
559,Odukpani,Cross River State,
560,Offa,Kwara State,
561,Ofu,Kogi State,
562,Ogba/Egbema/Ndoni,Rivers State,
563,Ogbadibo,Benue State,
564,Ogbaru,Anambra State,
565,Ogbia,Bayelsa State,
566,Ogbomosho North,Oyo State,
567,Ogbomosho South,Oyo State,
568,Ogu/Bolo,Rivers State,
569,Ogoja,Cross River State,
570,Ogo Oluwa,Oyo State,
571,Ogori/Magongo,Kogi State,
572,Ogun Waterside,Ogun State,
573,Oguta,Imo State,
574,Ohafia,Abia State,
575,Ohaji/Egbema,Imo State,
576,Ohaozara,Ebonyi State,
577,Ohaukwu,Ebonyi State,
578,Ohimini,Benue State,
579,Orhionmwon,Edo State,
580,Oji River,Enugu State,
581,Ojo,Lagos State,
582,Oju,Benue State,
583,Okehi,Kogi State,
584,Okene,Kogi State,
585,Oke Ero,Kwara State,
586,Okigwe,Imo State,
587,Okitipupa,Ondo State,
588,Okobo,Akwa Ibom State,
589,Okpe,Delta State,
590,Okrika,Rivers State,
591,Olamaboro,Kogi State,
592,Ola Oluwa,Osun State,
593,Olorunda,Osun State,
594,Olorunsogo,Oyo State,
595,Oluyole,Oyo State,
596,Omala,Kogi State,
597,Omuma,Rivers State,
598,Ona Ara,Oyo State,
599,Ondo East,Ondo State,
600,Ondo West,Ondo State,
601,Onicha,Ebonyi State,
602,Onitsha North,Anambra State,
603,Onitsha South,Anambra State,
604,Onna,Akwa Ibom State,
605,Okpokwu,Benue State,
606,Opobo/Nkoro,Rivers State,
607,Oredo,Edo State,
608,Orelope,Oyo State,
609,Oriade,Osun State,
610,Ori Ire,Oyo State,
611,Orlu,Imo State,
612,Orolu,Osun State,
613,Oron,Akwa Ibom State,
614,Orsu,Imo State,
615,Oru East,Imo State,
616,Oruk Anam,Akwa Ibom State,
617,Orumba North,Anambra State,
618,Orumba South,Anambra State,
619,Oru West,Imo State,
620,Ose,Ondo State,
621,Oshimili North,Delta State,
622,Oshimili South,Delta State,
623,Oshodi-Isolo,Lagos State,
624,Osisioma,Abia State,
625,Osogbo,Osun State,
626,Oturkpo,Benue State,
627,Ovia North-East,Edo State,
628,Ovia South-West,Edo State,
629,Owan East,Edo State,
630,Owan West,Edo State,
631,Owerri Municipal,Imo State,
632,Owerri North,Imo State,
633,Owerri West,Imo State,
634,Owo,Ondo State,
635,Oye,Ekiti State,
636,Oyi,Anambra State,
637,Oyigbo,Rivers State,
638,Oyo,Oyo State,
639,Oyo East,Oyo State,
640,Oyun,Kwara State,
641,Paikoro,Niger State,
642,Pankshin,Plateau State,
643,Patani,Delta State,
644,Pategi,Kwara State,
645,Port Harcourt,Rivers State,
646,Potiskum,Yobe State,
647,Qua'an Pan,Plateau State,
648,Rabah,Sokoto State,
649,Rafi,Niger State,
650,Rano,Kano State,
651,Remo North,Ogun State,
652,Rijau,Niger State,
653,Rimi,Katsina State,
654,Rimin Gado,Kano State,
655,Ringim,Jigawa State,
656,Riyom,Plateau State,
657,Rogo,Kano State,
658,Roni,Jigawa State,
659,Sabon Birni,Sokoto State,
660,Sabon Gari,Kaduna State,
661,Sabuwa,Katsina State,
662,Safana,Katsina State,
663,Sagbama,Bayelsa State,
664,Sakaba,Kebbi State,
665,Saki East,Oyo State,
666,Saki West,Oyo State,
667,Sandamu,Katsina State,
668,Sanga,Kaduna State,
669,Sapele,Delta State,
670,Sardauna,Taraba State,
671,Shagamu,Ogun State,
672,Shagari,Sokoto State,
673,Shanga,Kebbi State,
674,Shani,Borno State,
675,Shanono,Kano State,
676,Shelleng,Adamawa State,
677,Shendam,Plateau State,
678,Shinkafi,Zamfara State,
679,Shira,Bauchi State,
680,Shiroro,Niger State,
681,Shongom,Gombe State,
682,Shomolu,Lagos State,
683,Silame,Sokoto State,
684,Soba,Kaduna State,
685,Sokoto North,Sokoto State,
686,Sokoto South,Sokoto State,
687,Song,Adamawa State,
688,Southern Ijaw,Bayelsa State,
689,Suleja,Niger State,
690,Sule Tankarkar,Jigawa State,
691,Sumaila,Kano State,
692,Suru,Kebbi State,
693,Surulere,Oyo State,
694,Surulere,Lagos State,
695,Tafa,Niger State,
696,Tafawa Balewa,Bauchi State,
697,Tai,Rivers State,
698,Takai,Kano State,
699,Takum,Taraba State,
700,Talata Mafara,Zamfara State,
701,Tambuwal,Sokoto State,
702,Tangaza,Sokoto State,
703,Tarauni,Kano State,
704,Tarka,Benue State,
705,Tarmuwa,Yobe State,
706,Taura,Jigawa State,
707,Toungo,Adamawa State,
708,Tofa,Kano State,
709,Toro,Bauchi State,
710,Toto,Nasarawa State,
711,Chafe,Zamfara State,
712,Tsanyawa,Kano State,
713,Tudun Wada,Kano State,
714,Tureta,Sokoto State,
715,Udenu,Enugu State,
716,Udi,Enugu State,
717,Udu,Delta State,
718,Udung-Uko,Akwa Ibom State,
719,Ughelli North,Delta State,
720,Ughelli South,Delta State,
721,Ugwunagbo,Abia State,
722,Uhunmwonde,Edo State,
723,Ukanafun,Akwa Ibom State,
724,Ukum,Benue State,
725,Ukwa East,Abia State,
726,Ukwa West,Abia State,
727,Ukwuani,Delta State,
728,Umuahia North,Abia State,
729,Umuahia South,Abia State,
730,Umu Nneochi,Abia State,
731,Ungogo,Kano State,
732,Unuimo,Imo State,
733,Uruan,Akwa Ibom State,
734,Urue-Offong/Oruko,Akwa Ibom State,
735,Ushongo,Benue State,
736,Ussa,Taraba State,
737,Uvwie,Delta State,
738,Uyo,Akwa Ibom State,
739,Uzo Uwani,Enugu State,
740,Vandeikya,Benue State,
741,Wamako,Sokoto State,
742,Wamba,Nasarawa State,
743,Warawa,Kano State,
744,Warji,Bauchi State,
745,Warri North,Delta State,
746,Warri South,Delta State,
747,Warri South West,Delta State,
748,Wasagu/Danko,Kebbi State,
749,Wase,Plateau State,
750,Wudil,Kano State,
751,Wukari,Taraba State,
752,Wurno,Sokoto State,
753,Wushishi,Niger State,
754,Yabo,Sokoto State,
755,Yagba East,Kogi State,
756,Yagba West,Kogi State,
757,Yakuur,Cross River State,
758,Yala,Cross River State,
759,Yamaltu/Deba,Gombe State,
760,Yankwashi,Jigawa State,
761,Yauri,Kebbi State,
762,Yenagoa,Bayelsa State,
763,Yola North,Adamawa State,
764,Yola South,Adamawa State,
765,Yorro,Taraba State,
766,Yunusari,Yobe State,
767,Yusufari,Yobe State,
768,Zaki,Bauchi State,
769,Zango,Katsina State,
770,Zangon Kataf,Kaduna State,
771,Zaria,Kaduna State,
772,Zing,Taraba State,
773,Zurmi,Zamfara State,
774,Zuru,Kebbi State,
