LGA NAME,WARD NAME
UKWA WEST,ASA NORTH
,OBOKWE
,OGWE
,ASA SOUTH
,OBUZOR
,IPU WEST
,IPU EAST
,IPU SOUTH
,OZAA UKWU
,OZAA WEST
,
UMUAHIA NORTH,IBEKU EAST I
,IBEKU EAST II
,NDUME
,IBEKU WEST
,UMUAHIA URBAN I
,UMUAHIA URBAN II
,UMUAHIA URBAN III
,NKWOACHARA
,NKWOEGWU
,AFUGIRI
,UMUHU
,ISINGWU
,
UMUAHIA SOUTH,EZELEKE/OGBO DIUKWU
,OMAEGWU
,OHIAOCHA
,AMIAUKWU I
,AMIAUKWU II
,OLD UMUAHIA
,AMAKAMA
,UBAKALA ‘A’
,NSIRIMO
,UBAKALA ‘B’
,
UMU-NNEOCHI,AMUDA
,UMUAKU
,MBALA/ACHARA
,EZIN GODO
,NDIAWA/UMUELEM/IHIE/AMORIE
,EZIAMA-UGWU
,EZIAMA-AGBO
,UBAHU/AKAWA/AROIKPA
,UMUCHIEZE I
,UMUCHIEZE II
,UMUCHIEZE III
,OBINOLU/OBIAGU/LOMARA
,
DEMSA,BILLE
,BORRONG
,DEMSA
,DILLI
,DONG
,DWAM
,GWAMBA
,KPASHAM
,MBULA-KULI
,NASSARAWO DEMSA
,
FURORE,BETI
,FARANG
,FURORE
,GURIN
,KARLAHI
,MAYO-INE
,PARIYA
,RIBADU
,UKI TUKI
,WURO BOKKI
,YADIM
,
GANYE,BAKARI GUSO
,GAMU
,GANYE I
,GANYE II
,GURUM
,JAGGU
,SAGASUMI
,SUGU
,TIMDORE
,YEBBI
,
GEREI,DAKRI
,DAMARE
,GEREI I
,GEREI II
,GERENG
,JERA BAKARI
,JERA BONYO
,MODIRE/VINIKILANG
,TAMBO
,WURO DOLE
,
GOMBI,BOGA
,DUWA
,GA’ANDA
,GABUN
,GARKIDA
,GOMBI NORTH
,GOMBI SOUTH
,GUYAKU
,TAWA
,YANG
,
GUYUK,BANJIRAM
,BOBINI
,BODENO
,CHIKILA
,DUKUL
,DUMNA
,GUYUK
,KOLA
,LOKORO
,PUROKAYO
,
HONG,BANGSHIKA
,DAKSIRI
,GARAHA
,GAYA SILKAMI
,HILDI
,HONG
,HUSHEREZUM
,KWARHI
,MAYO LOPE
,SHANGUI
,THILBANG
,UBA
,
JADA,DANABA
,JADA I
,JABA II
,KOMA I
,KOMA II
,LEKO
,MAPEO
,MAYOKALAYE
,MBULO
,NYIBANGO
,YELLI
,
LAMURDE,DUBWANGUN
,GYWANA
,LAFIYA
,LAMURDE
,NGBAKOWO
,NGBEBONGUN
,OPALO
,RIGANGE
,SUWA
,WADUKU
,
MADAGALI,BEBEL
,DUHU/SHUWA
,GULAK
,HYAMBULA
,K/WURO NGAYANDI
,MADAGALI
,PALLAM
,SHELMI/VAPURA
,WAGGA
,WULA
,
MAIHA,BEBEL
,HUMBUTUDI
,KONKOL
,MAIHA GARI
,MANJEKIN
,MAYO NGULI
,PAKKA
,SORAU ‘U’
,SORAU ‘B’
,TAMBAJAM
,
MAYO-BELWA,BAJAMA
,BINYERI
,GANGFADA
,GENGLE
,GOROBI
,MAYO-BELWA
,MAYO-FARANG
,NASSARAWO JERENG
,NDIKONG
,RIBADU
,TOLA
,YOFFO
,
MICHIKA,BAZZA MARGI
,FUTUDOU/FUTULES
,GARTA/GHUNCHI
,JIGALAMBU
,MADZI
,MICHIKA I
,MICHIKA II
,MINKISI/WURO NGIKI
,MODA/DLAKA/GHENJUWA
,MUNKA VICITA
,SINA KWANDE
,THUKUDOU/SUFUKU/ZAH
,TSUKUMU/TILLIJO
,TUMBARA NGABILI
,VI/BOKA
,WAMBLIMI/TILLI
,
MUBI NORTH,BAHULI
,BETSO
,DIGIL
,KOLERE
,LOKUWA
,MAYO-BANI
,MIJILU
,MUCHALA
,SABON-LAYI
,VITIM
,YELWA
,
MUBI SOUTH,DIRBISHI/GANDIRA
,DUVU/CHABA/GIRBURUM
,GELLA
,GUDE
,KWAJA
,LAMORDE
,MUJARA
,MUGULBU/YADAFA
,NASSARAWO
,NDUKU
,
NUMAN,BARE
,BOLKI
,GAMADIO
,IMBURU
,KODOMTI
,NUMAN I
,NUMAN II
,NUMAN II
,SABON PEGI
,VULPI
,
SHELLENG,BAKTA
,BODWAI
,GUNDO
,GWAPOPOLOK
,JUMBUL
,KETEMBERE
,KIRI
,LIBBO
,SHELLENG
,TALLUM
,
SONG,DIRMA
,DUMNE
,GUDU MBOI
,KILANGE FUNA
,KILANGE HIRNA
,SIGIRE
,SUKTU
,SONG GARI
,SONG WAJE
,WALTANDI
,ZUMO
,
TUNGO,DAWO I
,DAWO II
,GUMTI
,KIRI I
,KIRI II
,KOGIN BABA I
,KOGIN BABA II
,TOUNGO I
,TOUNGO II
,TOUNGO III
,
YOLA NORTH,ALKALAWA
,AJIYA
,DOUBELI
,GWADABAWA
,JAMBUTU
,KAREWA
,LIMAWA
,LUGGERE
,NASSARAWO
,RUMDE
,YELWA
,
YOLA SOUTH,ADARAWO
,BAKO
,BOLE/YOLDE PATE
,NAMTARI
,NGURORE
,MAKAMA ‘A’
,MAKAMA ‘B’
,MBAMBA
,MBAMOI
,TOUNGO
,YOLDE KOHI
,
ABAK,ABAK URBAN I
,ABAK URBAN II
,ABAK URBAN III
,ABAK URBAN IV
,AFAHA OBONG I
,AFAHA OBONG II
,MIDIM I
,MIDIM II
,OTORO I
,OTORO II
,OTORO III
,
EASTERN OBOLO,EASTERN OBOLO I
,EASTERN OBOLO II
,EASTERN OBOLO III
,EASTERN OBOLO IV
,EASTERN OBOLO V
,EASTERN OBOLO VI
,EASTERN OBOLO VII
,EASTERN OBOLO VIII
,EASTERN OBOLO IX
,EASTERN OBOLO X
,
EKET,EKET URBAN I
,EKET URBAN II
,EKET URBAN III
,EKET URBAN IV
,EKET CENTRAL I
,EKET CENTRAL II
,EKET CENTRAL III
,EKET CENTRAL IV
,EKET CENTRAL V
,OKON I
,OKON II
,
ESIT EKET (UQUO),EKPENE OBO
,EDOR
,EBE EKPI
,IKPA
,UQUO
,EBIGHI OKPONO
,ETEBI IDUNG ASSAN
,ETEBI AKWATA
,AKPAUTONG
,NTAK INYANG
,
ESSIEN UDIM,ADIASIM
,AFAHA
,EKPENEYONG I
,EKPENYONG II
,IKPE ANNANG
,ODORO IKO I
,ODORO IKOT II
,OKON
,UKANA EAST
,UKANA WEST I
,UKANA WEST II
,
ETIM EKPO,ETIM EKPO I
,ETIM EKPO II
,ETIM EKPO III
,ETIM EKPO IV
,ETIM EKPO V
,ETIM EKPO VI
,ETIM EKPO VII
,ETIM EKPO VIII
,ETIM EKPO IX
,ETIM EKPO X
,
ETINAN,ETINAN URBAN I
,ETINAN URBAN II
,ETINAN URBAN III
,ETINAN URBAN IV
,ETINAN URBAN V
,SOUTHERN IMAN I
,SOUTHERN IMAN II
,SOUTHERN IMAN III
,SOUTHERN IMAN IV
,NORTHERN IMAN I
,NORTHERN IMAN II
,
IBENO,IBENO I
,IBENO I
,IBENO I
,IBENO I
,IBENO I
,IBENO I
,IBENO I
,IBENO I
,IBENO I
,IBENO I
,
IBESIKPO/ASUTAN,IBESIKPO I
,IBESIKPO II
,IBESIKPO III
,IBESIKPO IV
,IBESIKPO V
,AUSTAN I
,AUSTAN II
,AUSTAN III
,AUSTAN IV
,AUSTAN V
,
IBIONO IBOM,IBIONO EASTERN I
,IBIONO EASTERN II
,IBIONO WESTERN I
,IBIONO WESTERN II
,IBIONO SOUTHERN I
,IBIONO SOURTHERN II
,IBIONO NORTHERN I
,IBIONO NORTHERN II
,IBIONO CENTRAL I
,IBIONO CENTRAL II
,IKPANYA
,
IKA,IKA URBAN
,IKA URBAN
,ACHAN I
,ACHAN II
,ACHAN III
,ITIO I
,ITIO II
,ITIO III
,ODORO I
,ODORO II
,
IKONO,IKONO MIDDLE I
,IKONO MIDDLE II
,IKONO MIDDLE III
,IKONO MIDDLE IV
,IKONO SOUTH
,NKWO I
,NKWO II
,NDIYA/IKOT IDANA
,EDIENE I
,EDIENE II
,ITAK
,
IKOT ABASI,IKPA EBEKWE I
,IKPA EBEKWE II
,UKPUM ETE I
,UKPUM ETE II
,UKPUM OKON
,EDEMAYA I
,EDEMAYA II
,EDEMAYA III
,IKPA NUNG ASANG I
,IKPA NUNG ASANG II
,
IKOT EKPENE,IKOT EKPENE I
,IKOT EKPENE II
,IKOT EKPENE III
,IKOT EKPENE IV
,IKOT EKPENE V
,IKOT EKPENE VI
,IKOT EKPENE VII
,IKOT EKPENE VIII
,IKOT EKPENE IX
,IKOT EKPENE X
,IKOT EKPENE XI
,
INI,IKPE I
,IKPE II
,ITU MBONUSO
,NKARI
,IWERRE
,IKONO NORTH I
,IKONO NORTH II
,IKONO NORTH III
,ODORO UKWOK
,USUK UKWOK
,
ITU,OKU IBOKU
,MBIABO/AYADEHE
,EAST IAM I
,EAST ITAM II
,EAST ITAM III
,EAST ITAM IV
,EAST ITAM V
,WEST ITAM I
,WEST ITAM II
,WEST ITAM III
,
MBO,ENWANG I
,EWANG II
,EBUCHU I
,EBUCHU II
,UDESI
,EFFIAT I
,EFFIAT II
,IBAKA
,UDA I
,UDA II
,
MKPAT ENIN,UKPUM MINYA I
,UKPUM MINYA II
,UKPUM MINYA III
,UKPUM IV
,IKPA IBOM I
,IKPA IBOM II
,IKPA IBOM III
,IKPA IBOM IV
,IBIAKU I
,IBIAKU II
,IBIAKU III
,IKPA IKONO I
,IKPA IKONO II
,IKPA IKONO III
,
NSIT ATAI,EASTERN NSIT I
,EASTERN NSIT II
,EASTERN NSIT III
,EASTERN NSIT IV
,EASTERN NSIT V
,EASTERN NSIT VI
,EASTERN NSIT VII
,EASTERN NSIT VIII
,EASTERN NSIT IX
,EASTERN NSIT X
,
NSIT IBOM,ASANG I
,ASANG II
,ASANG III
,ASANG IV
,ASANG V
,MBIASO I
,MBIASO II
,MBIASO III
,MBIASO IV
,MBIASO V
,
NSIT UBIUM,IBIAKPAN/OBOTIM I
,IBIAKPAN/OBOTIM II
,ITRETO
,NDIYA
,UBIUM NORTH I
,UBIUM NORTH II
,UBIUM NORTH III
,UBIUM SOUTH I
,UBIUM SOUTH II
,UBIUM SOUTH III
,
OBOT AKARA,IKOT ABIA I
,IKOT ABIA II
,IKOT ABIA III
,OBOT AKARA I
,OBOT AKARA II
,OBOT AKARA III
,NTO EDINO I
,NTO EDINO II
,NTO EDINO III
,NTO EDINO IV
,
KOBO,OKOPEDI I
,OKOPEDI II
,NUNG ATI/UBE I
,NUNG ATAI/UBE II
,AKAI/MBOKPU/UDUNG
,EWEME I
,EWEME II
,OFFI I
,OFFI II
,EKEYA
,
ONNAA,AWA I
,AWA II
,AWA III
,AWA IV
,NUNG UDEM  I
,NUNG UDEM II
,ONIONG EAST I
,ONIONG EAST II
,ONIONG EAST III
,ONIONG WEST I
,ONIONG WEST II
,ONIONG EAST III
,
ORON,ORON URBAN I
,ORON URBAN II
,ORON URBAN III
,ORON URBAN IV
,ORON URBAN V
,ORON URBAN VI
,ORON URBAN VII
,ORON URBAN VIII
,ORON URBAN IX
,ORON URBAN X
,
ORUKANAM,IKOT IBRITAM I
,IKOT IBRITAM II
,NDOT/IK.OKORO I
,NDOT/IK. OKORO II
,NDOT/IK. OKORO III
,IBESIT
,EKPARAKWA
,ABAK MIDIM I
,ABAK MIDIM II
,ABAK MIDIM III
,ABAK MIDIMI IV
,IBESIT/NUNG IKOT I
,IBESIT/NUNG IKOT II
,
UDUNG UKO,UDUNG UKO I
,UDUNG UKO II
,UDUNG UKO III
,UDUNG UKO IV
,UDUNG UKO V
,UDUNG UKO VI
,UDUNG UKO VII
,UDUNG UKO VIII
,UDUNG UKO IX
,UDUNG UKO X
,
UKANAFUN,UKANAFUN URBAN
,SOUTHERN UKANAFUN I
,SOUTHERN UKANAFUN II
,NORTHERN UKANAFUN I
,NORTHERN UKANAFUN II
,NORTHERN AFAHA I
,NORTHERN AFAHA II
,SOUTHERN AFAHA ADAT IFANG I
,SOUTHERN AFAHA ADAT IFANG II
,SOUTHERN AFAHA ADAT IFANG III
,SOUTHERN AFAHA ADAT IFANG IV
,
URBAN,CENTRAL URUAN I
,CENTRAL URUAN II
,CENTRAL URUAN III
,NORTHERN URUAN I
,NORTHERN URUAN II
,SOUTHERN URUAN III
,SOUTHERN URUAN IV
,SOUTHERN URUAN V
,SOUTHERN URUAN VI
,SOUTHERN URUAN VII
,SOUTHERN URUAN VIII
,
URUE OFFONG ORUKO,URUE OFFONG I
,URUE OFFONG II
,URUE OFFONG III
,URUE OFFONG IV
,URUE OFFONG V
,ORUKU I
,ORUKU II
,ORUKU III
,ORUKU IV
,ORUKU V
,
UYO,UYO URBAN I
,UYO URBAN II
,UYO URBAN III
,ETOI I
,ETOI II
,OFFOT I
,OFFOT II
,IKONO I
,IKONO II
,OKU I
,OKU II
,
AGUATA,AKPO
,ACHINA I
,ACHINA II
,AGULUEZE CHUKWU
,AMESI
,EKWULOBIA I
,EKWULOBIA II
,EZINIFITE I
,ESINIFITE II
,IGBO –UKWU I
,IGBO-UKWU II
,ISUOFIA
,IKENGA
,NKPOLOGWU
,ORERI
,UGA I
,UGA II
,UMUUCHU I
,UMUCHU II
,UMUONA
,
AYAMELUM,ANAKU
,IFITE OGWAR I
,IFITE OGWAR II
,IGBAKWU
,OMASI
,OMOR I
,OMOR II
,OMOR III
,UMERUM
,UMUEJE
,UMUMBO
,
ANAMBRA EAST,AGULERI I
,AGULERI II
,ENUGWU-OUT
,EZIAGULU-OUT
,IGBARIAM
,NANDO I
,NANDO II
,NANDO III
,NSUGBE I
,NSUGBE II
,OTUOCHA I
,OTUOCHA II
,UMULERI I
,UMULERI II
,UMUOBA-ANAM
,
ANAMBRA WEST(MBAMILI),EZI-ANAM
,IFITE-ANAM
,NZAM
,OLUMANASA-ODE
,OLUMBANASA-INOMA
,OROMA ETITI-ANAM
,UMUENWELUM-ANAM
,UMUEZE-ANAM I
,UMUEZE-ANAM II
,UMUOBA-ANAM
,
ANAOCHA,ADAZI ANI I
,ADAZI ANI II
,ADAZI ENU I
,ADAZI ENU II
,ADAZI UNUKWU I
,ADAZI UNUKWU II
,AGULU I
,AGULU II
,AGULU III
,AGULU IV
,AGULU UZOIGBO
,AKWA EZE
,ICHIDA I
,ICHIDA II
,NENI I
,NENI II
,NRI I
,NRI II
,OBELEDU
,
AWKA-NORTH,ACHALLA I
,ACHALLA II
,ACHALLA III
,AMANSEA
,AMANUKE
,AWBA-OFEMMILI
,EBENEBE I
,EBENEBE II
,EBENEBE III
,ISU ANIOCHA
,MGBAKWU I (AMEZIKE)
,UGBENE
,UGBENU
,URUM
,
AWKA SOUTH,AGU OKA
,AMAWBIA I
,AMAWBIA II
,AMAWBIA III
,AWKA I
,AWKA II
,AWKA III
,AWKA IV
,AWKA V
,AWKA VI
,AWKA VII
,EZINATO ISIAGU
,MBAUKWU
,NIBO I
,NIBO II
,NIBO III
,NISE I
,NISE II
,OKPUNO
,UMUAWULU
,
DUNUKOFIA,AKWA
,IFITEDUNU I
,IFITEDUNU II
,NAWGU I
,NAWGU II
,UKPO I
,UKPO II
,UKPO III
,UKWULU I
,UKWULU II
,UMUDIOKA I
,UMUDIOKA II
,UMUNNACHI I
,UMUNNACHI II
,
EKWUSIGO,ICHI
,IHEMBOSI/ANAUBAHU
,ORIFITE I
,ORIFITE II
,ORIFITE III
,OZUBULU I
,OZUBULU II
,OZUBULU III
,OZUBULU IV
,OZUBULU V
,AMAKWA II
,IHITEOCHA
,
IDEMILI NORTH,ABACHA
,ABATETE
,EZIOWELE
,IDEANI
,NKPOR I
,NKPOR II
,OBOSI
,OGIDI I
,OGIDI II
,ORAUKWU
,UKE
,UMUOJI
,
IDEMILI SOUTH,AKWUKWU
,ALOR I
,ALOR II
,AWKA-ETITI I
,AWKA-ETITI II
,NNOBI I
,NNOBI II
,NNOBI III
,NNOKWA
,OBA I
,OBA II
,OJOTO
,
IHIALA,AMAMU A (1)
,MAMU B (II)
,AMORKA
,AZIA
,IHITE
,ISSEKE
,OGBOLO
,OKIJA I
,OKIJA II
,OKIJA III
,OKIJA IV
,OKIJA V
,ORSUMOGHU
,UBULUISIUZO
,ULI I
,ULI II
,ULI III
,LILU
,UZOAKWA
,MBOSI
,
NJIKOKA,ABBA I
,ABBA II
,ABAGANA I
,ABAGANA II
,ABAGANA III
,ABAGANA IV
,ENUGU-AGIDI I
,ENUGU-AGIDI II
,ENUGU-UKWU I
,ENUGU-UKWU II
,ENUGU-UKWU III
,ENUGU-UKWU IV
,NAWFIA I
,NAWFIA II
,NIMO I
,NIMO II
,NIMO III
,NIMO IV
,
NNEWI NORTH,NNEWI-ICHI I
,NNEWI-ICHI II
,OTOLO I
,OTOLO II
,OTOLO III
,UMUDIM I
,UMUDIM II
,URUAGU I
,URUAGU II
,URUAGU III
,
NNEWI SOUTH,AKWA IHEDI
,AMICHI I
,AMICHI II
,AMICHI III
,AZUIGBO
,EBENATOR
,EKWULUMILI
,EZINIFITE I
,EZINIFITE II
,EZINIFITE III
,OSUMENYI I
,OSUMENYI II
,UKPOR I
,UKPOR II
,UKPOR III
,UKPOR IV
,UKPOR V
,UKPOR VI
,UNUBI
,UTUH
,
OGBARU,AKILI OGIDI/OBEAGWE
,AKILI OZIZOR
,ATANI I
,ATANI II
,IYIOWA/ODEKPE/OHITA
,OCHUCHE/UMUODU
,OGBAKUBA
,OGWUANIOCHA
,OGWUIKPELE
,OKPOKO I
,OKPOKO II
,OKPOKO III
,OKPOKO IV
,OKPOKO V
,OKPOKO VI
,OSSOMALA
,UMUNANKWO/MPUPU
,
ONITSAHA NORTH,AMERICAN QUARTERS
,GRA
,INLAND TOWN I
,INLAND TOWN II
,INLAND TOWN III
,INLAND TOWN IV
,INLAND TOWN V
,INLAND TOWN VI
,INLAND TOWN VII
,INLAND TOWN VIII
,OGBE UMUONICHA
,TRANS NKISI
,WATER SIDE CENTRAL I
,WATER SIDE CENTRAL II
,WOLUWO LAYOUT
,
ONITSHA SOUTH,BRIDGE HEAD I
,BRIDGE HEAD II
,BRIDGE HEAD III
,FEGGE I
,FEGGE II
,FEGGE III
,FEGGE IV
,FEGGE V
,FEGGE VI
,FEGGE VII
,ODOAKPU I
,ODOAKPU II
,ODOAKPU III
,ODO AKPU IV
,ODOAKPU V
,ODOAKPU VI
,ODOAKPU VIII
,
ORUMBA NORTH,AJALLI I (OBINIKPA & UMUEVE)
,AJALLI II (UMUABIAMA * AMAGU)
,AMAETITI
,AMAOKPALA/OMOGHO
,AWA
,AWGBU I
,AWGBU II
,NANKA I
,NANKA II
,NDIKELIONWU
,NDIOKOLO/NDIOKPALEKE
,NDIOWU
,NDIUKWUENU/OKPEZE
,OKO I
,OKO II
,NDIOKALAEZE
,UFUMA I
,UFUMA II
,
ORUMBA SOUTH,AGBUDU
,AKPU
,ENUGU/UMUONYIA/ONNE
,EZIAGU
,EZIRA
,IHITE
,ISULO
,NAWFIJA
,NKEREHI
,OGBOJI
,OGBUNKA I
,OGBUNKA II
,OWERRE EZUKALA I
,OWERRE EZUKALA II
,UMUNZE I
,UMUNZE II
,UMUNZE III
,UMUOMAKU
,
OYI,AWKUZU I
,AWKUZU II
,AWKUZU III
,AWKUZU IV
,NTEJE I
,NTEJE II
,NTEJE III
,NTEJE IV
,NTEJE V
,NKWELLE EZUNAKA I
,NKWELLE EZUNAKA II
,OGBUNIKE I
,OGBUNIKE II
,UMUNYA I
,UMUNYA II
,
,
,
,
ALKALERE,ALKALERI
,PALI
,GAR
,GWARAM
,MAIMADI
,DAN/KUNGIBAR
,BIRIN/GIGARA/YANKARI
,YULI/LIM
,FURUK
,YALO
,GWANAN/MANSUR
,
BAUCHI,MAJIDADI ‘’A’’
,MAJIDADI ‘’B’’
,MAKAMA S/BAKI
,ZUGUR L/KATAGUM
,MUN/MUNSAL
,DANDANGO/YAMRAT
,BIRSHI/MIRI
,KUNDUM/DURUM
,KANGYARE/TURNWUN
,GALAMBI/GWASKWARAM
,DAN’IYA/HARDO
,DAWAKI
,
BOGORO,BOGORO ‘’A’’
,BOGORO ‘’B’’
,BOGORO ‘’C’’
,BOGORO ‘’D’’
,BOI ‘’A’’
,BOI ‘’B’’
,BOI ‘’C’’
,LUSA ‘’A’’
,LUSA ‘’B’’
,LUSA ‘’C’’
,
DAMBAM,GARAZA
,GURBANA
,DAMBAM
,YANDA
,YAME
,DAGAUDA
,GARGAWA
,ZAURA
,JALAM CENTRAL
,JALAM EAST
,
DARAZO,DARAZO
,TAUYA
,GABARIN
,KONKIYAL
,LAGO
,SADE
,LANZAI
,YAUTARE
,GABCHIYARI
,WAHU
,PAPA
,
DASS,BAGEL/BAJAR
,BUNDOT
,BUNUNU CENTRAL
,BUNUNU SOUTH WEST
,BARAZA
,DOTT
,DURR
,POLCHI
,WANDI
,ZUMBUL/LUKSHI
,
GAMAWA,GAMAWA
,KAFIN ROMI
,GOLOLO
,KUBDIYA
,ALAGARNO/JADORI
,TUMBI
,UDUBO
,TARMASUWA
,RAGA
,GADIYA
,ZINDIWA
,
GANJUWA,GANJUWA
,GUNGURA
,KAFIN MADAKI
,KARIYA
,KUBI EAST
,KUBI WEST
,MIYA EAST
,MIYA WEST
,NASARAWA NORTH
,NASARAWA SOUTH
,YALI
,
GIADE,CHINKANI
,SABON SARA
,DOGUWA CENTRAL
,DOGUWA SOUTH
,GLADE
,ISAWA
,UZUM ‘’A’’
,UZUM ‘’B’’
,ZABI
,ZIRRMI
,
ITAS/GADAU,ITAS
,MASHEMA
,GWARAI
,ABDALLAWA
,MAGARYA
,BUZAWA
,BILKI CHERU
,BAMBAL
,GADAU
,KASHURU
,ZUBUKI
,
JAMA’ARE’,JAMA’ARE ‘’A’’
,JAMA’ARE ‘’B’’
,JAMA’ARE ‘’C’’
,JAMA’ARE ‘’D’’
,DOGON JEJI ‘’A’’
,DOGON JEJI ‘’B’’
,DOGON JEJI ‘’C’’
,HANAFARI
,GALDIMARI
,JUMARA
,
KATAGUM,TSAKUWA/GABAS
,NASARAWA/B/KASUWA
,MADANGALA
,MADARA
,BUSKURI
,RAGWAM/MAGONSHI
,GAMBAKI/BIDIR
,CHINADE
,BULKACHUWA/DAGARO
,YAYU
,MADACHI/GANGAI
,
KIRFI,BADARA
,DARA
,BENI ‘’A’’
,BENI ‘’B’’
,DEWU CENTRAL
,DEWU EAST
,DIRFI
,SHANGO
,TUBULE
,WANKA
,
MISAU,ZADAWA
,BETI
,JARKASA
,KUDADI/GUNDARI
,AJILI/GUGULIN
,TOFU
,HARDAWA
,SARMA/AKUYAM
,SIRKO
,GWARAM
,
NINGI,NINGI
,DINGIS
,NASARU
,JANGU
,BALMA
,KUDU/YAMMA
,TIFFI/GUDA
,BURRA/KYATA
,SAMA
,SASHE
,KURMI
,
SHIRA,ANDUBUN
,SAMBUWAL
,BUKUL/BANGIRI
,DISINA
,FAGGO
,BELI/GAGIDIBA
,KILBORI
,SHIRA
,TSAFI
,TUMFAFI
,ZUBO
,
TAFAWA BALEWA,KARDAM ‘’A’’
,KARDAM ‘’B’’
,LERE NORTH
,LERE SOUTH
,TAPSHIN
,WAI
,BALL
,BULA
,DAJIN
,DULL
,BUNUNU
,
TORO,TORO/TULAI
,TILDEN FULANI
,RIBINA
,MARA/PALAMA
,RAUTA/GEJI
,JAMA’A/ZARANDA
,LAME
,RISHI/ZALAU
,TAMA
,RAHAMA
,
WARJI,BAIMA NORTH WEST
,BAIMA SOUTH WEST
,DAGU EAST
,DAGU WEST
,GABANGA
,KATANGA
,RANGA
,TIYIN
,TUDUN WADA EAST
,TUDUN WADA WEST
,
ZAKI,BURSALI
,KATAGUM
,TASHENA/GADAI
,MAKAWA
,SAKWA
,GUMAI
,MURMUR NORTH
,MURMUR SOUTH
,ALANGAWARI
,MAIWA
,MAIMAKO
,
,
,
BRASS,BRASS ONE (TWON)
,BRASS TWO (TWON)
,EWOAMA
,EKPOAMA
,ODIOMA/DIEMA
,CAPE FORMOSA
,KONSHO
,OSINIBIRI
,MINIBIE
,SANGANA
,
EKEREMOR,TARAKIRI
,OYIAKIRI I
,OYIAKIRI II
,OYIAKIRI III
,OYIAKIRI IV
,OPOROMOR I
,OPOROMOR II
,OPOROMOR III
,OPOROMOR IV
,OPOROMOR V
,EDUWINI I
,EDUWINI II
,
KOLOKUMA/OPOKUMA,ODI (NORTH) I
,ODI (CENTRAL) II
,ODI (SOUTH) III
,KAIAMA
,KAIAMA/OLOBIRI
,SAMPOU/KALAMA
,OPOKUMA NORTH
,OPOKUMA SOUTH
