"lga","state"
"Rogo","Kano"
"Shanono","Kano"
"Sumaila","Kano"
"Takai","Kano"
"Tarauni","Kano"
"Tofa","Kano"
"Tsanyawa","Kano"
"Tudun Wada","Kano"
"Ungogo","Kano"
"Warawa","Kano"
"Wudil","Kano"
"Bakori","Katsina"
"Batagarawa","Katsina"
"Batsari","Katsina"
"Baure","Katsina"
"Bindawa","Katsina"
"Charanchi","Katsina"
"Dan Musa","Katsina"
"Dandume","Katsina"
"Danja","Katsina"
"Daura","Katsina"
"Dutsi","Katsina"
"Dutsin Ma","Katsina"
"Faskari","Katsina"
"Funtua","Katsina"
"Ingawa","Katsina"
"Jibia","Katsina"
"Kafur","Katsina"
"Kaita","Katsina"
"Kankara","Katsina"
"Kankia","Katsina"
"Katsina","Katsina"
"Kurfi","Katsina"
"Kusada","Katsina"
"Mai'Adua","Katsina"
"Malumfashi","Katsina"
"Mani","Katsina"
"Mashi","Katsina"
"Matazu","Katsina"
"Musawa","Katsina"
"Rimi","Katsina"
"Sabuwa","Katsina"
"Safana","Katsina"
"Sandamu","Katsina"
"Zango","Katsina"
"Aleiro","Kebbi"
"Arewa Dandi","Kebbi"
"Argungu","Kebbi"
"Augie","Kebbi"
"Bagudo","Kebbi"
"Birnin Kebbi","Kebbi"
"Bunza","Kebbi"
"Dandi","Kebbi"
"Fakai","Kebbi"
"Gwandu","Kebbi"
"Jega","Kebbi"
"Kalgo","Kebbi"
"Koko/Besse","Kebbi"
"Maiyama","Kebbi"
"Ngaski","Kebbi"
"Sakaba","Kebbi"
"Shanga","Kebbi"
"Suru","Kebbi"
"Wasagu/Danko","Kebbi"
"Yauri","Kebbi"
"Zuru","Kebbi"
"Adavi","Kogi"
"Ajaokuta","Kogi"
"Ankpa","Kogi"
"Bassa","Kogi"
"Dekina","Kogi"
"Ibaji","Kogi"
"Idah","Kogi"
"Igalamela Odolu","Kogi"
"Ijumu","Kogi"
"Kabba/Bunu","Kogi"
"Kogi","Kogi"
"Lokoja","Kogi"
"Mopa Muro","Kogi"
"Ofu","Kogi"
"Ogori/Magongo","Kogi"
"Okehi","Kogi"
"Okene","Kogi"
"Olamaboro","Kogi"
"Omala","Kogi"
"Yagba East","Kogi"
"Yagba West","Kogi"
"Asa","Kwara"
"Baruten","Kwara"
"Edu","Kwara"
"Ekiti","Kwara"
"Ifelodun","Kwara"
"Ilorin East","Kwara"
"Ilorin South","Kwara"
"Ilorin West","Kwara"
"Irepodun","Kwara"
"Isin","Kwara"
"Kaiama","Kwara"
"Moro","Kwara"
"Offa","Kwara"
"Oke Ero","Kwara"
"Oyun","Kwara"
"Pategi","Kwara"
"Agege","Lagos"
"Ajeromi-Ifelodun","Lagos"
"Alimosho","Lagos"
"Amuwo-Odofin","Lagos"
"Apapa","Lagos"
"Badagry","Lagos"
"Epe","Lagos"
"Eti Osa","Lagos"
"Ibeju-Lekki","Lagos"
"Ifako-Ijaiye","Lagos"
"Ikeja","Lagos"
"Ikorodu","Lagos"
"Kosofe","Lagos"
"Lagos Island","Lagos"
"Lagos Mainland","Lagos"
"Mushin","Lagos"
"Ojo","Lagos"
"Oshodi-Isolo","Lagos"
"Shomolu","Lagos"
"Surulere","Lagos"
"Akwanga","Nasarawa"
"Awe","Nasarawa"
"Doma","Nasarawa"
"Karu","Nasarawa"
"Keana","Nasarawa"
"Keffi","Nasarawa"
"Kokona","Nasarawa"
"Lafia","Nasarawa"
"Nasarawa","Nasarawa"
"Nasarawa Egon","Nasarawa"
"Obi","Nasarawa"
"Toto","Nasarawa"
"Wamba","Nasarawa"
"Agaie","Niger"
"Agwara","Niger"
"Bida","Niger"
"Borgu","Niger"
"Bosso","Niger"
"Chanchaga","Niger"
"Edati","Niger"
"Gbako","Niger"
"Gurara","Niger"
"Katcha","Niger"
"Kontagora","Niger"
"Lapai","Niger"
"Lavun","Niger"
"Magama","Niger"
"Mariga","Niger"
"Mashegu","Niger"
"Mokwa","Niger"
"Moya","Niger"
"Paikoro","Niger"
"Rafi","Niger"
"Rijau","Niger"
"Shiroro","Niger"
"Suleja","Niger"
"Tafa","Niger"
"Wushishi","Niger"
"Abeokuta North","Ogun"
"Abeokuta South","Ogun"
"Ado-Odo/Ota","Ogun"
"Yewa North","Ogun"
"Yewa South","Ogun"
"Ewekoro","Ogun"
"Ifo","Ogun"
"Ijebu East","Ogun"
"Ijebu North","Ogun"
"Ijebu North East","Ogun"
"Ijebu Ode","Ogun"
"Ikenne","Ogun"
"Imeko Afon","Ogun"
"Ipokia","Ogun"
"Obafemi Owode","Ogun"
"Odeda","Ogun"
"Odogbolu","Ogun"
"Ogun Waterside","Ogun"
"Remo North","Ogun"
"Shagamu","Ogun"
"Akoko North-East","Ondo"
"Akoko North-West","Ondo"
"Akoko South-East","Ondo"
"Akoko South-West","Ondo"
"Akure North","Ondo"
"Akure South","Ondo"
"Ese Odo","Ondo"
"Idanre","Ondo"
"Ifedore","Ondo"
"Ilaje","Ondo"
"Ile Oluji/Okeigbo","Ondo"
"Irele","Ondo"
"Odigbo","Ondo"
"Okitipupa","Ondo"
"Ondo East","Ondo"
"Ondo West","Ondo"
"Ose","Ondo"
"Owo","Ondo"
"Aiyedaade","Osun"
"Aiyedire","Osun"
"Atakunmosa East","Osun"
"Atakunmosa West","Osun"
"Boluwaduro","Osun"
"Boripe","Osun"
"Ede North","Osun"
"Ede South","Osun"
"Egbedore","Osun"
"Ejigbo","Osun"
"Ife Central","Osun"
"Ife East","Osun"
"Ife North","Osun"
"Ife South","Osun"
"Ifedayo","Osun"
"Ifelodun","Osun"
"Ila","Osun"
"Ilesa East","Osun"
"Ilesa West","Osun"
"Irepodun","Osun"
"Irewole","Osun"
"Isokan","Osun"
"Iwo","Osun"
"Obokun","Osun"
"Odo Otin","Osun"
"Ola Oluwa","Osun"
"Olorunda","Osun"
"Oriade","Osun"
"Orolu","Osun"
"Osogbo","Osun"
"Afijio","Oyo"
"Akinyele","Oyo"
"Atiba","Oyo"
"Atisbo","Oyo"
"Egbeda","Oyo"
"Ibadan North","Oyo"
"Ibadan North-East","Oyo"
"Ibadan North-West","Oyo"
"Ibadan South-East","Oyo"
"Ibadan South-West","Oyo"
"Ibarapa Central","Oyo"
"Ibarapa East","Oyo"
"Ibarapa North","Oyo"
"Ido","Oyo"
"Irepo","Oyo"
"Iseyin","Oyo"
"Itesiwaju","Oyo"
"Iwajowa","Oyo"
"Kajola","Oyo"
"Lagelu","Oyo"
"Ogbomosho North","Oyo"
"Ogbomosho South","Oyo"
"Ogo Oluwa","Oyo"
"Olorunsogo","Oyo"
"Oluyole","Oyo"
"Ona Ara","Oyo"
"Orelope","Oyo"
"Ori Ire","Oyo"
"Oyo West","Oyo"
"Oyo East","Oyo"
"Saki East","Oyo"
"Saki West","Oyo"
"Surulere","Oyo"
"Barkin Ladi","Plateau"
"Bassa","Plateau"
"Bokkos","Plateau"
"Jos East","Plateau"
"Jos North","Plateau"
"Jos South","Plateau"
"Kanam","Plateau"
"Kanke","Plateau"
"Langtang North","Plateau"
"Langtang South","Plateau"
"Mangu","Plateau"
"Mikang","Plateau"
"Pankshin","Plateau"
"Qua'an Pan","Plateau"
"Riyom","Plateau"
"Shendam","Plateau"
"Wase","Plateau"
"Abua/Odual","Rivers"
"Ahoada East","Rivers"
"Ahoada West","Rivers"
"Akuku-Toru","Rivers"
"Andoni","Rivers"
"Asari-Toru","Rivers"
"Bonny","Rivers"
"Degema","Rivers"
"Eleme","Rivers"
"Emuoha","Rivers"
"Etche","Rivers"
"Gokana","Rivers"
"Ikwerre","Rivers"
"Khana","Rivers"
"Obio/Akpor","Rivers"
"Ogba/Egbema/Ndoni","Rivers"
"Ogu/Bolo","Rivers"
"Okrika","Rivers"
"Omuma","Rivers"
"Opobo/Nkoro","Rivers"
"Oyigbo","Rivers"
"Port Harcourt","Rivers"
"Tai","Rivers"
"Binji","Sokoto"
"Bodinga","Sokoto"
"Dange Shuni","Sokoto"
"Gada","Sokoto"
"Goronyo","Sokoto"
"Gudu","Sokoto"
"Gwadabawa","Sokoto"
"Illela","Sokoto"
"Isa","Sokoto"
"Kebbe","Sokoto"
"Kware","Sokoto"
"Rabah","Sokoto"
"Sabon Birni","Sokoto"
"Shagari","Sokoto"
"Silame","Sokoto"
"Sokoto North","Sokoto"
"Sokoto South","Sokoto"
"Tambuwal","Sokoto"
"Tangaza","Sokoto"
"Tureta","Sokoto"
"Wamako","Sokoto"
"Wurno","Sokoto"
"Yabo","Sokoto"
"Ardo Kola","Taraba"
"Bali","Taraba"
"Donga","Taraba"
"Gashaka","Taraba"
"Gassol","Taraba"
"Ibi","Taraba"
"Jalingo","Taraba"
"Karim Lamido","Taraba"
"Kumi","Taraba"
"Lau","Taraba"
"Sardauna","Taraba"
"Takum","Taraba"
"Ussa","Taraba"
"Wukari","Taraba"
"Yorro","Taraba"
"Zing","Taraba"
"Bade","Yobe"
"Bursari","Yobe"
"Damaturu","Yobe"
"Fika","Yobe"
"Fune","Yobe"
"Geidam","Yobe"
"Gujba","Yobe"
"Gulani","Yobe"
"Jakusko","Yobe"
"Karasuwa","Yobe"
"Machina","Yobe"
"Nangere","Yobe"
"Nguru","Yobe"
"Potiskum","Yobe"
"Tarmuwa","Yobe"
"Yunusari","Yobe"
"Yusufari","Yobe"
"Anka","Zamfara"
"Bakura","Zamfara"
"Birnin Magaji/Kiyaw","Zamfara"
"Bukkuyum","Zamfara"
"Bungudu","Zamfara"
"Chafe","Zamfara"
"Gummi","Zamfara"
"Gusau","Zamfara"
"Kaura Namoda","Zamfara"
"Maradun","Zamfara"
"Maru","Zamfara"
"Shinkafi","Zamfara"
"Talata Mafara","Zamfara"
"Zurmi","Zamfara"
